Run Index,Alpha_a,Alpha_b,Alpha_W_a,Alpha_W_b,Q_Init,N_Tilings,S_Intervals,Superlative EETDR,Superlative 95HW,SP95LB,Mean Max EETDR,Mean Max 95ME,Mean Time-Avg EETDR,Mean Time-Avg 95ME,Wallclock,Algorithm Score
80.0,0.495,0.395,0.625,0.105,0.775,0.725,0.895,-155.96239013075717,18.219574720536066,-174.18196485129323,-209.74793677715667,33.56229628732011,-324.82956406900246,66.95545216642905,129.84023836899723,-302.7001463328587
81.0,0.065,0.655,0.415,0.765,0.795,0.225,0.485,-128.5974780780851,12.869443813401494,-141.46692189148658,-218.92316542190898,34.712566617672074,-300.33108412276954,68.63287544566177,98.01374559599208,-299.76702305112116
82.0,0.905,0.605,0.535,0.905,0.165,0.705,0.475,-138.3367609583471,9.9877847069726,-148.3245456653197,-288.4677652743741,58.52970041230525,-380.13281399288206,68.92753141386335,137.63553407299332,-387.82261757470576
83.0,0.115,0.195,0.135,0.195,0.475,0.155,0.455,-76.9330190846694,13.428060539000189,-90.36107962366958,-203.97822067254188,51.22943319763986,-329.02675534240996,80.96275541480938,92.55704391600739,-317.12039662499683
84.0,0.855,0.135,0.665,0.345,0.355,0.465,0.675,-120.5245670577593,17.040395551644565,-137.56496260940386,-222.3637192367077,37.17451970178691,-339.8790834717257,57.39289206878488,226.2807692760107,-314.631733579301
85.0,0.415,0.615,0.435,0.955,0.265,0.775,0.195,-148.74431121852217,10.364841951251778,-159.10915316977395,-306.8348100617097,91.76501789806959,-369.4520104673815,113.37719569087977,202.93262724899978,-432.29157923917205
86.0,0.225,0.995,0.235,0.965,0.105,0.275,0.205,-127.37871016195237,6.064902088892107,-133.44361225084447,-305.5633451172881,67.91013831172565,-368.1409951400832,93.99353879283137,105.67436942600762,-408.93790363057406
87.0,0.195,0.055,0.305,0.945,0.025,0.625,0.985,-136.25688980042386,14.48058263090503,-150.73747243132888,-201.69622896517754,27.78756425594211,-341.63492385620395,54.20437660671722,231.0732099399902,-296.02599611784024
88.0,0.355,0.855,0.085,0.305,0.545,0.945,0.315,-133.92506640679773,8.470802902686584,-142.3958693094843,-326.33819728416125,79.63842806536748,-434.58157780767834,97.5543963540645,174.7298397160048,-456.4403648744144
89.0,0.8969047992756995,0.6617530722928597,0.2962886594032938,0.39176982559660034,0.2927684456542602,0.5234250512861668,0.2176502852429481,-128.06089509103717,7.746918030867133,-135.8078131219043,-345.4474196131679,91.87422188952593,-397.69399790147475,107.47969676400179,194.89616533000662,-464.46246276780687
90.0,0.475,0.485,0.785,0.695,0.745,0.175,0.505,-171.46002244298688,17.245513140665828,-188.7055355836527,-240.3491985510105,25.83611472278583,-345.8338262862047,45.97035416095582,190.43378071900224,-316.432860143142
91.0,0.125,0.585,0.475,0.735,0.215,0.475,0.145,-116.97612320636375,7.392049876925248,-124.368173083289,-343.3816491042958,107.14570084621869,-376.64375730722725,117.9053960921073,101.81644477200462,-468.13607133004245
92.0,0.535,0.735,0.855,0.755,0.585,0.215,0.215,-115.43557358368935,7.037419448747949,-122.4729930324373,-316.57561843223226,77.65860871517054,-419.28578758479836,113.62982381165156,102.86434005899355,-449.7067808470216
93.0,0.145,0.935,0.935,0.035,0.725,0.165,0.935,-113.3800466654956,11.824245683525064,-125.20429234902066,-172.53774631597852,27.452030398918534,-227.27849771355704,36.34689838846888,97.45167638000567,-225.44402446974863
94.0,0.135,0.495,0.585,0.525,0.865,0.585,0.085,-89.41303479709094,12.16166346506429,-101.57469826215524,-332.21708939064456,104.30961847724318,-379.6518073445294,107.2716262721703,109.59188254699984,-456.68539816741253
95.0,0.665,0.015,0.075,0.165,0.055,0.835,0.625,-143.48946935196932,15.370848060444793,-158.8603174124141,-256.33338510738895,48.991269029871354,-424.4230813781933,64.90936663730642,131.0701653319993,-378.92777168855605
96.0,0.365,0.765,0.275,0.655,0.975,0.535,0.005,-131.30000085759403,6.830475550666292,-138.1304764082603,-318.6595613506351,98.81942636195602,-403.99387105407504,194.39401905921403,120.65452229800576,-489.8425486728703
97.0,0.655,0.225,0.015,0.885,0.015,0.325,0.265,-96.47222870860722,9.850744410415604,-106.32297311902282,-216.66512076335403,59.69891630119169,-384.5463457152251,91.75565849682077,98.43060621700715,-356.3392239235458
98.0,0.775,0.785,0.325,0.935,0.415,0.105,0.425,-147.2181188086117,11.03675532271257,-158.25487413132427,-235.0774588355176,37.703091943848484,-331.5347310957399,72.06174494741137,97.86387580000155,-325.1069208848802
99.0,0.085,0.445,0.605,0.275,0.375,0.035,0.705,-123.74161045102747,17.9536762556859,-141.69528670671338,-177.0683114180438,23.464135203881238,-259.0194768647239,42.855329847815,91.9928428580024,-241.06939065817056
