Run Index,Alpha_a,Alpha_W_a,Q_Init,N_Tilings,S_Intervals,Superlative EETDR,Superlative 95HW,SP95LB,Mean Max EETDR,Mean Max 95ME,Mean Time-Avg EETDR,Mean Time-Avg 95ME,Wallclock,Algorithm Score
68.0,0.725,0.525,0.765,0.425,0.925,-158.8395309587968,16.448509207555112,-175.2880401663519,-200.6987748631859,18.032264402965424,-270.4984278371383,22.089185770367784,226.66173441499996,-248.27366900269323
69.0,0.165,0.285,0.655,0.415,0.995,-194.057883751572,19.6429247962507,-213.7008085478227,-197.10776211618375,21.239759217347366,-283.8839536430179,23.493320518974464,116.6730762010011,-253.95942246491563
70.0,0.445,0.115,0.945,0.175,0.855,-169.04308606914606,19.56985787943415,-188.6129439485802,-184.1224321160749,13.031819102611795,-287.06251105889066,17.53684785602518,120.41605014299967,-240.13229429717836
71.0,0.825,0.125,0.175,0.595,0.505,-147.33338601029106,13.762750502718443,-161.0961365130095,-231.98552460744204,39.920719257683494,-329.4970637797138,42.77574630091916,148.75321067499863,-312.05287035132847
72.0,0.675,0.145,0.095,0.245,0.045,-48.49517344060541,5.0224823139390065,-53.51765575454442,-180.56090461336618,66.87037875818754,-319.0285045283769,85.5944200355583,81.70564048599954,-310.3079398485063
73.0,0.35713770849877746,0.4071165973439678,0.16216108678272256,0.5056108474401082,0.19697295468864662,-117.71980544663846,20.336038433863997,-138.05584388050247,-146.48240063051938,39.39144747973738,-292.39894847971914,54.39288761073064,135.7012053670005,-250.241043302334
74.0,0.305,0.005,0.895,0.115,0.805,-181.87517650792242,18.29422760830635,-200.16940411622878,-191.06416389509417,12.663216001911278,-282.5098436515971,26.617208070985296,97.87667362499997,-245.88724862723623
75.0,0.585,0.105,0.705,0.145,0.695,-145.48334560638574,17.631400013693995,-163.11474562007973,-197.21896924293907,23.482306207538684,-287.8650288699535,30.84236758652136,205.3368457969991,-259.90372385287657
76.0,0.745,0.885,0.375,0.685,0.685,-53.54583991116579,12.583053989120351,-66.12889390028614,-105.94313373819969,35.9463066924518,-178.33865336869604,33.84424601590816,122.46820457400099,-170.00682401223258
77.0,0.885,0.625,0.445,0.705,0.675,-144.78942438252392,10.532225118877514,-155.32164950140142,-188.64330450736938,20.974173927365957,-301.30650795019864,39.99801951984392,113.96425695700054,-262.29229804885824
78.0,0.985,0.915,0.545,0.975,0.445,-83.84693759844976,18.256628795965437,-102.1035663944152,-130.9360560485351,28.423048091024835,-201.5255982715949,32.61923749983601,248.2387290000006,-189.27339679230835
79.0,0.545,0.805,0.975,0.565,0.915,-127.86097204753891,15.621881617644007,-143.48285366518292,-144.66460900643207,12.453555811576551,-230.66065039914628,22.046660554859265,128.820917604,-195.3538232724074
80.0,0.495,0.395,0.625,0.105,0.775,-145.28368780700055,14.20418715085353,-159.48787495785407,-198.43937118072307,10.916669846783774,-281.29031933723735,20.246277384883236,172.63692873800028,-246.22826330535233
81.0,0.065,0.655,0.415,0.765,0.795,-121.54036995533143,11.747164224193593,-133.287534179525,-162.71726474171822,17.59259350405892,-245.60390132270186,17.604033925119666,171.95281160100058,-213.4690890465949
82.0,0.905,0.605,0.535,0.905,0.165,-118.81985906904589,3.1947902556716947,-122.01464932471758,-168.91816972452915,46.352710503820305,-303.18389808400354,65.77176345615469,116.35690398400038,-276.74479275307294
83.0,0.115,0.195,0.135,0.195,0.475,-177.9855742083342,17.745838331064768,-195.73141253939897,-234.24054091675816,26.201991461050707,-313.4893487275982,30.4235649007224,111.82097294599953,-293.8306848780136
84.0,0.855,0.135,0.665,0.345,0.355,-178.99244947909443,22.589772512770967,-201.5822219918654,-243.66717993508365,31.71851755971923,-329.4313868229954,29.09724394361724,89.63803456999995,-308.64287080352676
85.0,0.415,0.615,0.435,0.955,0.265,-72.02258108732792,18.93357191411228,-90.9561530014402,-126.3433510354309,25.052480759127068,-249.8627630046687,28.00730029783759,166.5254041520002,-201.98552439773732
86.0,0.225,0.995,0.235,0.965,0.105,-82.28305782000938,20.72365351009493,-103.00671133010431,-155.44797501604344,29.598470224636944,-279.00162180427424,24.053181180218722,270.96950610800013,-232.2497883382054
87.0,0.195,0.055,0.305,0.945,0.025,-141.82459826319155,10.212963718660108,-152.03756198185167,-260.69792858197064,91.19832818713519,-420.73807789827316,89.55732292551046,245.08559501200034,-415.25591439097695
88.0,0.355,0.855,0.085,0.305,0.545,-29.086580058331407,8.370746461660424,-37.45732651999183,-92.27920801423106,22.760096913514765,-164.79391161729265,24.633027808495683,119.13221473300109,-144.79435872696286
89.0,0.7230848315962032,0.7041243710181156,0.245655594694666,0.4598824513138181,0.31738984178841967,-61.99552013085243,15.180567640050896,-77.17608777090332,-111.90344325021405,31.339914559674703,-215.56476879256508,42.42042580677477,197.46112210199863,-189.1400925256692
90.0,0.6510374019813805,0.2749495260645969,0.9167709291857703,0.7601503969309163,0.818369237972299,-132.5646573680221,13.186718061168545,-145.75137542919063,-210.4750990228368,31.184011464283795,-305.5166106512794,31.714570474492124,130.9773371600004,-279.88793874258096
91.0,0.125,0.585,0.475,0.735,0.215,-72.16448060443406,11.920598468449231,-84.08507907288329,-127.30872558474164,22.934146898070914,-258.82321861093607,36.43728946509243,225.53819552800087,-208.24992672009893
92.0,0.535,0.735,0.855,0.755,0.585,-74.28361150603058,12.6473256587075,-86.93093716473808,-116.64446440490103,21.986652200868008,-211.3487016576884,24.849294661810543,141.73883410000053,-177.657868491261
93.0,0.145,0.935,0.935,0.035,0.725,-161.55374478943716,21.58791289606883,-183.141657685506,-150.09510837760124,6.079510496875649,-213.14864484887647,5.236705895067444,126.38216601800013,-181.0589116222637
94.0,0.25598259083506036,0.650481398631197,0.4990377119519337,0.4167405298871702,0.8956719607351191,-133.46961995044487,16.176005388660172,-149.64562533910504,-182.03204686137715,18.71687463140633,-248.68026715925006,18.098149620303083,115.48662455799968,-227.16071960749133
95.0,0.665,0.015,0.075,0.165,0.055,-69.44208316572298,4.54623894984172,-73.9883221155647,-223.3435430863599,76.01566613072322,-354.73029985143626,98.24320372729078,74.40414813200005,-360.8049269617407
96.0,0.365,0.765,0.275,0.655,0.975,-140.65517421795127,17.78006661508446,-158.43524083303572,-165.02013042597324,18.519925913638133,-233.5206326068407,19.62024777592088,165.12587454099958,-211.38038595687146
97.0,0.655,0.225,0.015,0.885,0.015,-91.29735185713162,18.79879384714417,-110.09614570427578,-197.05554345308457,73.60301360528881,-363.6867086883076,74.4064385647254,107.3633807440001,-337.6323931362372
98.0,0.775,0.785,0.325,0.935,0.415,-55.31943696739771,7.2922368513799745,-62.61167381877769,-145.57815970136792,40.02478603234711,-254.80095295261248,44.25672288467432,142.59676887600108,-230.98483777514377
99.0,0.085,0.445,0.605,0.275,0.375,-110.839985309834,11.37154291536242,-122.21152822519643,-172.6166263567499,27.492392046633125,-281.94981790953995,20.746537644746784,122.13417436199961,-241.1439532637445
