Run Index,Alpha_a,Alpha_b,Eps_a,Eps_b,Q_Init,Lambda_a,Lambda_b,N_Tilings,S_Intervals,Superlative EETDR,Superlative 95HW,SP95LB,Mean Max EETDR,Mean Max 95ME,Mean Time-Avg EETDR,Mean Time-Avg 95ME,Wallclock,Algorithm Score
40.0,0.915,0.645,0.035,0.065,0.875,0.235,0.515,0.795,0.815,-190.18407641982586,18.538486622612457,-208.7225630424383,-226.1551332459554,15.756420490097485,-340.7261982840868,6.111570738110578,465.39330981198873,-283.8820398505107
41.0,0.405,0.335,0.205,0.005,0.455,0.885,0.275,0.935,0.105,42.91085880596661,28.03560625722915,14.87525254873746,8.509784644502805,19.829186978097688,-140.4687517260174,17.211136928348377,793.8032218649896,-69.86359686190323
42.0,0.895,0.035,0.845,0.055,0.555,0.575,0.575,0.485,0.675,-104.89551168285475,15.858370081204022,-120.75388176405878,-112.97553152378684,6.902871329792855,-190.78998769397444,5.288599598087245,145.7493796780036,-150.35847662897248
43.0,0.055,0.295,0.685,0.535,0.845,0.655,0.925,0.705,0.295,-249.07120000836932,23.779681225542607,-272.85088123391193,-252.95345225868635,8.91949217390519,-324.1192341338699,7.150707229804813,252.23007347100065,-289.6317432050248
44.0,0.685,0.305,0.495,0.645,0.735,0.525,0.655,0.755,0.765,-201.83216574080765,22.375174516528457,-224.2073402573361,-244.9020917846646,10.042936421188585,-327.13188101715065,5.390772562668112,538.3393362939969,-285.9760783554394
45.0,0.015,0.675,0.025,0.325,0.645,0.005,0.125,0.175,0.225,-185.90455890361153,25.918931516401422,-211.82349042001294,-221.76055644251386,5.58609520798174,-294.59698418793977,5.722730900291989,174.47751317000075,-256.53587702559
46.0,0.955,0.835,0.875,0.125,0.885,0.875,0.595,0.055,0.055,-141.17438532814666,16.45958782266739,-157.63397315081406,-173.0628370015778,14.498811159938468,-278.6331992950666,14.632481657309519,423.02573601900076,-229.84326127786022
47.0,0.845,0.085,0.675,0.995,0.205,0.685,0.465,0.825,0.585,-127.03457936171988,17.47378157826329,-144.50836093998316,-109.83045388891128,4.68276332604683,-188.63459574103197,5.941239551059357,1432.7434954619966,-146.5382644458114
48.0,0.635,0.545,0.575,0.985,0.705,0.505,0.055,0.735,0.805,-174.32600194522786,17.241614334905687,-191.56761628013354,-248.07354579948318,12.05409633849363,-325.1952295793129,5.1772515276543265,1293.2999498849967,-288.225577725573
49.0,0.035,0.845,0.725,0.875,0.765,0.415,0.495,0.095,0.555,-182.25535459992935,17.891321426902437,-200.14667602683178,-238.94142293878113,20.404686523209186,-307.1458506246871,7.815391119131339,186.42666071400163,-281.59216237472157
50.0,0.835,0.825,0.255,0.225,0.945,0.045,0.835,0.845,0.035,-159.3656501560481,14.439903216055122,-173.80555337210322,-184.59020612063304,8.863001069602417,-242.9421851048532,8.095752276480003,619.1590883730096,-216.48709926667453
51.0,0.935,0.985,0.805,0.775,0.535,0.085,0.255,0.675,0.925,-171.1786086791334,17.203305839041523,-188.3819145181749,-245.86359170329328,13.62005131590633,-311.78581114358906,5.538357163429864,521.9172437210073,-282.61985313432734
52.0,0.205,0.895,0.485,0.615,0.435,0.985,0.885,0.435,0.305,-193.2264877423831,20.75934847774346,-213.98583622012657,-230.98667549493612,17.43996223108627,-293.5006856046452,13.81419078362036,219.665237039997,-271.9819331909196
53.0,0.875,0.275,0.385,0.385,0.955,0.845,0.745,0.835,0.205,220.56626563995025,16.51306364989805,204.0532019900522,197.58226953099583,17.912630991507484,-7.931323560785954,9.908056405714653,612.6138603040017,100.66603113709276
54.0,0.435,0.875,0.965,0.395,0.145,0.555,0.555,0.315,0.425,-162.68865749820066,23.35590018825689,-186.04455768645755,-135.20938253797692,15.341233210406614,-210.88426616984003,10.643582231646388,519.7792557149951,-178.94150880962468
55.0,0.735,0.745,0.565,0.785,0.895,0.965,0.325,0.545,0.495,-205.32018084456595,19.301315400968473,-224.62149624553442,-243.11215804505963,14.255860744824798,-321.92368222557917,8.431144956277436,469.47023464299855,-286.5627421466733
56.0,0.39997690703939204,0.23589803632348733,0.8708584071389314,0.8063525985035572,0.41439815943244873,0.6161819549167036,0.8388868092641389,0.5890003736581619,0.045633997695340045,53.021005730441836,24.171057425034693,28.849948305407143,24.57458422516143,19.462334273207183,-91.03673869946803,10.051346325373922,345.2178477809939,-37.36788403876424
57.0,0.755,0.945,0.245,0.075,0.115,0.995,0.805,0.595,0.615,-185.07012399576604,32.78796074943806,-217.8580847452041,-232.56293861905246,18.91653831958044,-306.87872959852314,15.602423092785179,307.8715295449947,-279.88014723970304
58.0,0.235,0.025,0.815,0.405,0.185,0.925,0.695,0.555,0.405,-69.67251460678315,34.51053883745434,-104.18305344423749,-83.65270822731051,24.008627072500236,-249.04275400235684,7.890537053391793,881.7375652490009,-167.37011760218587
59.0,0.965,0.865,0.455,0.825,0.595,0.265,0.755,0.295,0.985,-194.4546790051861,16.727141011784504,-211.18182001697062,-211.07223117380303,16.849414872516686,-316.6163574695409,4.286850639013277,196.75063136398967,-265.11427087121353
