Run Index,Alpha_a,Alpha_b,Eps_a,Eps_b,Q_Init,N_Steps,N_Tilings,S_Intervals,Superlative EETDR,Superlative 95HW,SP95LB,Mean Max EETDR,Mean Max 95ME,Mean Time-Avg EETDR,Mean Time-Avg 95ME,Wallclock,Algorithm Score
53.0,0.875,0.275,0.385,0.385,0.955,0.845,0.745,0.835,-108.37105011127214,15.292590603313288,-123.66364071458543,-106.64190932715694,6.957788622565486,-155.45984883605115,4.3812021780327175,201.73197155800153,-132.096239175467
54.0,0.435,0.875,0.965,0.395,0.145,0.555,0.555,0.315,69.03423657584975,24.93865019718731,44.09558637866243,0.9530528776257391,30.629104601917586,-117.4420684312955,16.76354929898593,1257.4827966680023,-71.48787812668769
55.0,0.735,0.745,0.565,0.785,0.895,0.965,0.325,0.545,-28.231846878943067,24.539966328806486,-52.77181320774955,-31.559454872428667,17.332733498143185,-106.07024951609435,11.142584779370171,344.56449471400265,-76.22044674052893
56.0,0.3744919827648988,0.32453431533543275,0.7581190945617364,0.7034197923016317,0.4213894766971435,0.6003716824129403,0.6895858253760311,0.5161780112624198,92.82458098202397,27.3309722673267,65.49360871469727,81.82081690875324,15.94304309397061,-38.9778257083408,10.886942006749146,417.1698195249992,19.580757202833595
57.0,0.755,0.945,0.245,0.075,0.115,0.995,0.805,0.595,19.859723477570768,19.23866810616176,0.6210553714090068,0.4865448205620407,12.658647628245067,-69.65658359110776,8.903947121085878,498.87399564200314,-38.72747396948727
58.0,0.235,0.025,0.815,0.405,0.185,0.925,0.695,0.555,-22.583133001840196,13.016467715085232,-35.59960071692543,-41.01864067725329,5.738356388101703,-92.28419455115947,4.130036822832111,263.1482788220019,-66.61989078880963
59.0,0.965,0.865,0.455,0.825,0.595,0.265,0.755,0.295,33.41116705524049,30.35334134341672,3.057825711823771,3.595270015130874,30.336013661790396,-129.720584510295,17.57156824380567,826.6327441009998,-74.96130728963598
60.0,0.695,0.325,0.405,0.835,0.345,0.315,0.855,0.415,168.57596494163172,18.04904810574803,150.5269168358837,113.17349778313485,29.16052610399347,-53.0682342556298,20.904510218189138,795.2580912029953,20.81868521795725
61.0,0.155,0.045,0.635,0.665,0.815,0.335,0.365,0.445,137.70892407684795,25.632791223006244,112.0761328538417,91.75980511152054,19.961864992473938,-54.87971150488413,9.254751997938836,654.0042068889961,17.424978670298774
62.0,0.485,0.175,0.285,0.375,0.755,0.545,0.975,0.305,134.08736046648977,24.40086698455985,109.68649348192992,50.545367355278785,37.83721021550616,-94.6395723432564,12.944134226498747,414.8820069680005,-35.408588344038485
63.0,0.555,0.815,0.355,0.805,0.615,0.915,0.445,0.855,-19.372826751095655,26.679511335066554,-46.05233808616221,-47.48531599123685,14.71390821720453,-114.35781747699022,11.989036620500897,259.08524350499647,-87.85827616406127
64.0,0.605,0.685,0.825,0.215,0.395,0.305,0.545,0.195,2.1818648971867587,25.75934852546642,-23.577483628279662,-16.956141464496973,20.760838497681085,-153.6104289271604,11.802554767606992,523.2351512520036,-88.79538145521379
65.0,0.095,0.905,0.525,0.715,0.245,0.405,0.995,0.995,-150.21851107501908,14.298633226943775,-164.51714430196284,-192.9376909068391,9.8289747408171,-262.04872584650855,6.9927503468951375,1361.401882653001,-229.2765898659552
66.0,0.625,0.555,0.735,0.185,0.255,0.955,0.405,0.895,-61.31169752114021,8.43020763584621,-69.74190515698642,-50.752997344329366,8.439294112338862,-98.99279544240922,3.1306633070372603,142.3617981510033,-76.36475837377952
67.0,0.315,0.665,0.955,0.315,0.425,0.445,0.435,0.965,-187.21562080795005,27.551207994387372,-214.76682880233741,-148.93123579435812,12.798413127317158,-236.6431392762287,3.856171327822149,781.3478806269995,-193.2375135946255
68.0,0.725,0.525,0.765,0.425,0.925,0.135,0.025,0.355,-72.85161487135251,20.819364139064838,-93.67097901041734,-97.16038094871605,14.639670719816346,-185.39425256656887,9.557410498373864,271.53655399200215,-145.0606962270965
69.0,0.165,0.285,0.655,0.415,0.995,0.025,0.665,0.015,-179.07993227466886,15.097687678218666,-194.17761995288754,-197.51356064213434,8.938347040254435,-312.29944610273736,12.39221873376162,384.1006741980018,-253.74781054403286
70.0,0.445,0.115,0.945,0.175,0.855,0.375,0.715,0.685,-93.17888703251484,12.390441795914361,-105.56932882842919,-121.45489353724197,6.7763378931145875,-181.59735703357376,6.909027094966998,201.34903764100454,-152.34129250963025
71.0,0.825,0.125,0.175,0.595,0.505,0.455,0.775,0.455,52.92393146978731,23.878754633166583,29.04517683662073,-15.476313025149148,24.35179865252966,-104.90933591332494,12.301695069775294,335.241818814,-70.78127939984738
72.0,0.675,0.145,0.095,0.245,0.045,0.355,0.605,0.335,84.9631636247459,25.391479937256772,59.57168368748913,20.304788670177977,16.466044811257543,-63.35847332117944,6.8423456088681185,292.20339643799525,-25.777081256666765
73.0,0.345,0.215,0.215,0.295,0.175,0.935,0.225,0.395,18.00388889283458,13.182964851507165,4.820924041327416,-13.885030653659792,8.171413373753346,-73.35300176688062,3.4853713707532274,259.25643595099973,-43.96921567150142
74.0,0.305,0.005,0.895,0.115,0.805,0.855,0.565,0.765,-127.91366952629919,18.74712003265429,-146.66078955895347,-147.93523802455735,5.653226054426731,-198.36614758263914,3.9883262280055654,188.24601577800058,-173.09486797164834
75.0,0.585,0.105,0.705,0.145,0.695,0.285,0.815,0.585,-105.6938874014562,11.475616231761325,-117.16950363321752,-112.10606925927875,9.703556842533507,-181.65809063401292,7.407267355399793,214.38526631399873,-148.71191885685244
76.0,0.745,0.885,0.375,0.685,0.685,0.605,0.135,0.565,5.532960437711186,27.542434602381636,-22.00947416467045,-16.54821985653643,13.983884266678542,-116.7069215537156,8.08576019472234,349.4618751960006,-68.23633517330417
77.0,0.885,0.625,0.445,0.705,0.675,0.795,0.915,0.125,175.74855019254392,22.475081047205386,153.27346914533854,152.9574914761311,34.3081159804848,0.3585859954672614,27.182888132789277,721.256637460996,60.45990444245897
78.0,0.985,0.915,0.545,0.975,0.445,0.385,0.065,0.065,-14.151597771865251,23.511392976290256,-37.66299074815551,-51.74478505105242,17.637018033379597,-111.17358880984546,16.859607621074733,183.26766039400536,-92.84236042302729
79.0,0.545,0.805,0.975,0.565,0.915,0.095,0.015,0.495,-195.1435047683194,22.19019646450052,-217.33370123281992,-200.60605167317476,12.19543369435442,-257.81015445369985,4.2970628703209375,330.002353994998,-232.52377815012582
80.0,0.495,0.395,0.625,0.105,0.775,0.725,0.895,0.525,-82.89284041112262,12.27948929860754,-95.17232970973016,-109.59352251060302,12.3603808703983,-176.65793698270335,4.8986124374263955,245.96482371800084,-145.7949617966527
81.0,0.065,0.655,0.415,0.765,0.795,0.225,0.485,0.105,-173.90008867628345,12.868653278851346,-186.7687419551348,-182.1888455183486,8.298475124369642,-230.16973972857332,9.69674139244235,319.50929849999375,-210.2389848340372
82.0,0.905,0.605,0.535,0.905,0.165,0.705,0.475,0.145,190.44504792642394,20.070290178124168,170.37475774829977,138.3637920603806,33.974325378065544,8.021777642241538,19.22876282635734,361.20323635100067,58.150885935742714
83.0,0.115,0.195,0.135,0.195,0.475,0.155,0.455,0.915,-187.43836847077387,19.05404485058874,-206.49241332136262,-227.79600230967526,14.323766152631139,-295.9528432579276,4.914877305713771,744.1561914189951,-265.6189493028404
84.0,0.855,0.135,0.665,0.345,0.355,0.465,0.675,0.005,-51.681556125786386,8.899525755374878,-60.58108188116127,-70.1604139789512,6.010188996855925,-167.42452991863985,8.82507735139893,213.91214002299967,-116.2022046934998
85.0,0.415,0.615,0.435,0.955,0.265,0.775,0.195,0.865,37.51252803119166,23.370743109954557,14.1417849212371,-19.69169145230582,16.445196494533285,-85.00912220483042,6.2169764558223735,159.00596626000333,-58.17257223236459
86.0,0.225,0.995,0.235,0.965,0.105,0.275,0.205,0.285,-142.85274684389864,18.775970998519533,-161.62871784241818,-134.15381850765377,7.902029983515418,-191.82913599903873,9.846308577734805,261.0532794710016,-165.9036869254109
87.0,0.195,0.055,0.305,0.945,0.025,0.625,0.985,0.635,80.11482918210393,24.10732912216005,56.00750005994388,29.15521006425808,16.788516424895686,-74.59257205374955,12.528679889286872,415.14673998599756,-27.42848459359714
88.0,0.355,0.855,0.085,0.305,0.545,0.945,0.315,0.695,-34.52334026052221,20.344730696922383,-54.868070957444594,-40.8780811368196,12.724656454883291,-108.76298195872126,7.741293008744314,204.09137488799752,-78.76335254200796
89.0,0.8743668975191776,0.6823190157785006,0.32135308996288126,0.3960956905824211,0.25201516306922883,0.5484827957267446,0.22738345028572368,0.42024994204842664,113.0459570246554,28.616141759154164,84.42981526550123,93.34737290577797,35.21030612586878,-43.88017857008402,9.654427201728547,262.3198936789995,13.468397759220483
90.0,0.475,0.485,0.785,0.695,0.745,0.175,0.505,0.745,-122.54755014738598,33.831614162217754,-156.37916430960374,-140.5620661244235,20.941028713112654,-251.53839116436544,5.554849249555808,591.7899114660031,-199.7391530680902
91.0,0.125,0.585,0.475,0.735,0.215,0.475,0.145,0.805,-161.8347726716237,27.250562999661383,-189.0853356712851,-122.56934783976223,15.734224961935375,-204.863015196827,6.888956949240768,478.09976458599704,-167.6829325394457
92.0,0.535,0.735,0.855,0.755,0.585,0.215,0.215,0.345,18.797314564310756,28.66388272456714,-9.866568160256385,-10.625797975828515,19.023951717460385,-141.07472339360737,12.770930731199492,367.23713226700056,-79.32811146589609
93.0,0.145,0.935,0.935,0.035,0.725,0.165,0.935,0.365,-245.95293304491398,24.560851731011855,-270.51378477592584,-307.01623708310774,45.15803505945628,-415.2132350794703,47.61390985092357,439.47340421199624,-396.4354212576959
94.0,0.135,0.495,0.585,0.525,0.865,0.585,0.085,0.025,-60.796149267688676,17.404825618447944,-78.20097488613662,-95.48813992997484,13.153957034396406,-174.70780103875092,9.949923619317106,432.0799382240002,-139.04834804184995
95.0,0.665,0.015,0.075,0.165,0.055,0.835,0.625,0.575,-55.398232260329344,12.489523081928052,-67.88775534225739,-65.43804729874562,5.359141132250912,-121.70014266105495,6.034855078579246,328.1518026099948,-93.5723121544516
96.0,0.365,0.765,0.275,0.655,0.975,0.535,0.005,0.975,-95.96457052990888,15.304204579657355,-111.26877510956623,-112.91504111983227,8.29070057089194,-159.45180715236287,7.967658192574812,153.0785997589992,-139.6912311524096
97.0,0.655,0.225,0.015,0.885,0.015,0.325,0.265,0.985,-77.2308618737262,27.039375374227184,-104.27023724795339,-61.78419558237455,13.295398592488077,-157.25000885449495,7.095774922134037,221.1838625159944,-110.78607001556917
98.0,0.775,0.785,0.325,0.935,0.415,0.105,0.425,0.185,-84.45420203604458,18.95361972519164,-103.40782176123622,-129.91114740013916,14.028758129078792,-190.422143685432,6.366785074466787,379.569833198002,-165.07951482149028
99.0,0.085,0.445,0.605,0.275,0.375,0.035,0.705,0.715,-202.52690013007836,22.67059234571246,-225.19749247579082,-263.7767291827694,13.515227318984179,-334.46501628752736,10.010917400149435,323.37676198699774,-304.16554737612284
